,Continent,Country,Life Expectancy,GDP per Capita,Population
94,Asia,United Arab Emirates,76.671,57028.0,4910528.0
95,Asia,Uzbekistan,68.117,4705.0,28436921.0
96,Asia,Vietnam,75.793,4912.0,90909858.0
98,Europe,Albania,77.185,9811.0,3201808.0
100,Europe,Armenia,74.469,7291.0,3109065.0
101,Europe,Austria,80.965,44216.0,8424752.0
102,Europe,Azerbaijan,70.686,15888.0,9135595.0
103,Europe,Belarus,69.829,16907.0,9495640.0
104,Europe,Belgium,80.373,40687.0,10779150.0
105,Europe,Bosnia and Herzegovina,76.211,9149.0,3746891.0
106,Europe,Bulgaria,73.448,15443.0,7403974.0
107,Europe,Croatia,76.881,20183.0,4395204.0
108,Europe,Cyprus,79.674,31710.0,897448.0
110,Europe,Denmark,79.251,42869.0,5500015.0
111,Europe,Estonia,74.335,24761.0,1338443.0
112,Europe,Finland,80.362,39489.0,5382904.0
113,Europe,France,81.663,37227.0,63180398.0
114,Europe,Georgia,74.162,6702.0,4154420.0
115,Europe,Germany,80.578,42959.0,81803143.0
116,Europe,Greece,80.593,24991.0,11220908.0
117,Europe,Hungary,74.491,22306.0,9933894.0
118,Europe,Iceland,81.96,39925.0,340165.0
119,Europe,Ireland,80.531,44673.0,4718529.0
120,Europe,Italy,82.235,34813.0,60417613.0
121,Europe,Latvia,72.045,20597.0,2222604.0
123,Europe,Lithuania,71.942,23711.0,3203947.0
124,Europe,Luxembourg,80.371,89153.0,502981.0
126,Europe,Malta,79.574,28271.0,412725.0
127,Europe,Moldova,68.779,4151.0,3524832.0
129,Europe,Montenegro,74.715,13712.0,626245.0
130,Europe,Netherlands,80.906,45484.0,16765061.0
131,Europe,Norway,81.367,63620.0,4932608.0
132,Europe,Poland,76.239,22740.0,37946828.0
133,Europe,Portugal,79.732,25953.0,10767466.0
134,Europe,Romania,73.718,17502.0,21026601.0
136,Europe,Serbia,73.934,12505.0,9851771.0
138,Europe,Slovenia,79.444,27682.0,2033663.0
139,Europe,Spain,81.958,31971.0,46119910.0
140,Europe,Sweden,81.69,43263.0,9376404.0
141,Europe,Switzerland,82.471,54573.0,7650584.0
142,Europe,Ukraine,68.414,8319.0,44908670.0
143,Europe,United Kingdom,80.396,36535.0,62559040.0
146,North America,Bahamas,75.079,22841.0,353720.0
147,North America,Barbados,75.205,15261.0,257875.0
148,North America,Belize,73.673,8287.0,325291.0
149,North America,Canada,81.323,41865.0,34528059.0
150,North America,Costa Rica,79.712,13162.0,4766188.0
151,North America,Cuba,79.088,19586.0,11208354.0
154,North America,El Salvador,72.361,7442.0,6263139.0
155,North America,Grenada,72.64,11046.0,105218.0
156,North America,Guatemala,71.77,6985.0,15103059.0
157,North America,Haiti,62.746,1603.0,10497005.0
158,North America,Honduras,73.503,4131.0,7921545.0
159,North America,Jamaica,73.338,8521.0,2752649.0
160,North America,Mexico,77.281,16320.0,112666949.0
161,North America,Nicaragua,74.515,4304.0,5994420.0
162,North America,Panama,77.342,17627.0,3615952.0
166,North America,Trinidad and Tobago,69.761,29086.0,1353766.0
167,North America,United States,78.797,50549.0,323576823.0
168,Oceania,Australia,82.364,42522.0,21951414.0
169,Oceania,Fiji,69.626,7303.0,863005.0
174,Oceania,New Zealand,80.982,32806.0,4379016.0
176,Oceania,Papua New Guinea,62.288,2476.0,7203127.0
177,Oceania,Samoa,72.867,5654.0,179588.0
178,Oceania,Solomon Islands,67.465,2024.0,560791.0
179,Oceania,Tonga,72.516,5032.0,104468.0
181,Oceania,Vanuatu,71.344,2902.0,257954.0
182,South America,Argentina,76.128,17101.0,41430742.0
183,South America,Bolivia,66.969,5650.0,10363937.0
184,South America,Brazil,73.667,15234.0,198585396.0
185,South America,Chile,79.691,21050.0,17458170.0
186,South America,Colombia,73.835,11636.0,47556854.0
187,South America,Ecuador,76.195,10233.0,14095685.0
188,South America,Guyana,66.134,6054.0,758974.0
189,South America,Paraguay,72.181,6975.0,6680282.0
190,South America,Peru,74.525,10913.0,30171433.0
191,South America,Suriname,70.794,15254.0,533590.0
192,South America,Uruguay,77.084,18447.0,3394436.0
193,South America,Venezuela,74.477,17642.0,29954693.0
